user_id,action,resource,ip_address,success,timestamp,session_id
user_0000,update,calendar,192.168.2.200,True,2026-08-04 12:28:37.651726,session_7265
user_0000,update,calendar,192.168.2.200,True,2026-08-16 15:10:37.651726,session_9322
user_0000,list,api/keys,192.168.1.101,True,2026-08-19 13:01:37.651726,session_7420
user_0000,read,dashboard,10.0.0.50,True,2026-07-29 14:43:37.651726,session_8849
user_0000,list,email,10.0.0.50,True,2026-08-25 11:43:37.651726,session_9838
user_0000,write,settings,192.168.1.100,True,2026-08-18 17:38:37.651726,session_9433
user_0000,export,profile,172.16.0.10,True,2026-08-23 17:25:37.651726,session_8099
user_0000,update,dashboard,172.16.0.10,True,2026-08-04 16:46:37.651726,session_8555
user_0000,write,settings,192.168.2.200,True,2026-07-30 14:53:37.651726,session_7873
user_0000,share,settings,172.16.0.10,False,2026-08-09 10:09:37.651726,session_7439
user_0000,export,calendar,192.168.1.101,True,2026-08-18 10:46:37.651726,session_7331
user_0000,export,dashboard,192.168.1.100,True,2026-08-25 17:28:37.651726,session_6463
user_0000,update,documents,192.168.1.100,True,2026-07-29 16:23:37.651726,session_6892
user_0000,read,team,192.168.1.100,True,2026-08-07 15:57:37.651726,session_4104
user_0000,share,calendar,192.168.2.200,True,2026-08-13 15:22:37.651726,session_9154
user_0000,export,documents,192.168.1.100,True,2026-07-31 09:34:37.651726,session_1502
user_0000,read,storage,192.168.1.101,True,2026-08-11 15:26:37.651726,session_8858
user_0000,export,settings,192.168.2.200,True,2026-08-04 09:51:37.651726,session_7892
user_0000,update,documents,172.16.0.10,True,2026-08-12 12:12:37.651726,session_3693
user_0000,share,storage,172.16.0.10,True,2026-08-25 12:29:37.651726,session_8392
user_0000,share,email,172.16.0.10,True,2026-07-29 17:26:37.651726,session_8526
user_0000,read,reports,192.168.1.100,True,2026-08-03 16:26:37.651726,session_1663
user_0000,read,settings,192.168.1.100,True,2026-08-12 14:31:37.651726,session_7585
user_0000,update,dashboard,192.168.2.200,True,2026-08-17 15:01:37.651726,session_1698
user_0000,list,api/keys,192.168.2.200,True,2026-08-14 10:01:37.651726,session_7528
user_0000,list,storage,172.16.0.10,True,2026-08-16 10:52:37.651726,session_5218
user_0000,export,settings,192.168.1.101,True,2026-08-14 14:23:37.651726,session_2930
user_0000,list,api/keys,192.168.2.200,True,2026-08-13 09:08:37.651726,session_3811
user_0000,write,documents,10.0.0.50,True,2026-08-24 12:18:37.651726,session_2734
user_0000,write,calendar,192.168.1.100,True,2026-08-17 17:32:37.651726,session_9120
user_0000,share,storage,10.0.0.50,True,2026-08-22 10:22:37.651726,session_7287
user_0000,list,dashboard,192.168.1.101,True,2026-08-23 17:51:37.651726,session_5548
user_0000,read,documents,10.0.0.50,True,2026-08-02 15:08:37.651726,session_2154
user_0000,read,calendar,172.16.0.10,True,2026-08-17 16:53:37.651726,session_6539
user_0000,share,documents,192.168.1.100,True,2026-08-03 16:19:37.651726,session_3961
user_0000,share,documents,192.168.2.200,True,2026-08-11 10:01:37.651726,session_9352
user_0000,export,settings,10.0.0.50,True,2026-08-01 09:13:37.651726,session_5555
