user_id,action,resource,ip_address,success,timestamp,session_id,is_anomaly,anomaly_type
user_0000,share,team,192.168.1.100,True,2026-08-02 14:10:37.651726,session_7298,,
user_0000,read,team,172.16.0.10,True,2026-07-29 09:39:37.651726,session_1362,,
user_0000,list,documents,172.16.0.10,True,2026-08-08 14:59:37.651726,session_4207,,
user_0000,list,calendar,192.168.1.100,True,2026-08-21 16:56:37.651726,session_8832,,
user_0000,write,team,192.168.1.100,True,2026-08-01 11:06:37.651726,session_4344,,
user_0000,export,team,172.16.0.10,True,2026-08-12 17:54:37.651726,session_5284,,
user_0000,export,reports,192.168.2.200,True,2026-08-03 15:12:37.651726,session_1608,,
user_0000,export,settings,192.168.2.200,True,2026-08-24 16:19:37.651726,session_7439,,
user_0000,share,storage,192.168.1.101,True,2026-07-31 09:26:37.651726,session_3400,,
user_0000,write,profile,192.168.1.101,True,2026-08-01 09:53:37.651726,session_6602,,
user_0000,write,documents,192.168.2.200,True,2026-08-20 15:59:37.651726,session_1189,,
user_0000,update,reports,10.0.0.50,True,2026-08-05 15:59:37.651726,session_3603,,
user_0000,read,settings,172.16.0.10,True,2026-08-24 17:30:37.651726,session_1215,,
user_0000,export,settings,192.168.1.101,True,2026-08-18 09:59:37.651726,session_7043,,
user_0000,update,calendar,192.168.1.101,True,2026-08-15 17:12:37.651726,session_6035,,
user_0000,update,documents,10.233.73.9,True,2026-07-29 12:08:37.651726,session_1966,True,new_ip
user_0000,write,reports,172.16.0.10,True,2026-08-21 10:57:37.651726,session_1374,,
user_0000,write,team,192.168.1.100,True,2026-08-04 11:15:37.651726,session_1737,,
user_0000,delete,debug,172.16.0.10,True,2026-08-06 17:46:37.651726,session_2951,True,unusual_resource
user_0000,delete,secrets,172.16.0.10,True,2026-08-13 12:37:37.651726,session_2879,True,unusual_resource
user_0000,update,dashboard,172.16.0.10,True,2026-08-25 17:06:37.651726,session_8895,,
user_0000,export,profile,192.168.1.100,True,2026-08-19 13:27:37.651726,session_1500,,
user_0000,write,team,10.0.0.50,True,2026-08-22 16:52:37.651726,session_7713,,
user_0000,export,calendar,172.16.0.10,True,2026-08-05 14:01:37.651726,session_5921,,
user_0000,write,documents,192.168.1.101,True,2026-08-12 11:22:37.651726,session_1184,,
user_0000,list,profile,192.168.1.101,True,2026-08-25 11:41:37.651726,session_7999,,
user_0000,update,calendar,192.168.1.101,True,2026-08-15 17:52:37.651726,session_2287,,
user_0000,write,config,192.168.1.100,True,2026-08-09 13:12:37.651726,session_7302,True,unusual_resource
user_0000,read,documents,192.168.1.101,True,2026-08-09 17:33:37.651726,session_9772,,
user_0000,read,reports,172.16.0.10,True,2026-08-01 14:44:37.651726,session_8088,,
user_0000,read,reports,172.16.0.10,True,2026-08-16 15:21:37.651726,session_8907,,
user_0000,write,dashboard,192.168.1.101,True,2026-08-23 11:17:37.651726,session_1484,,
user_0000,list,reports,10.0.0.50,True,2026-08-19 10:15:37.651726,session_6180,,
user_0000,export,settings,10.0.0.50,True,2026-07-29 17:42:37.651726,session_2180,,
user_0000,write,email,10.0.0.50,True,2026-08-06 16:58:37.651726,session_9736,,
user_0000,read,settings,192.168.2.200,True,2026-08-14 12:51:37.651726,session_9623,,
user_0000,update,email,192.168.1.101,True,2026-08-12 12:39:37.651726,session_1223,,
user_0000,read,profile,192.168.2.200,True,2026-08-14 10:35:37.651726,session_2982,,
user_0000,write,email,192.168.1.101,True,2026-08-26 13:24:37.651726,session_8332,,
user_0000,write,admin,172.16.0.10,True,2026-08-20 16:10:37.651726,session_5893,True,unusual_resource
user_0000,list,calendar,192.168.1.101,True,2026-08-09 12:37:37.651726,session_8697,,
user_0000,export,documents,192.168.1.100,True,2026-07-29 09:59:37.651726,session_8061,,
user_0000,list,api/keys,192.168.2.200,True,2026-08-12 13:04:37.651726,session_2504,,
user_0000,update,email,192.168.1.100,True,2026-08-06 16:46:37.651726,session_9510,,
user_0000,export,api/keys,192.168.1.100,True,2026-08-13 15:49:37.651726,session_7322,,
user_0000,update,settings,192.168.1.101,True,2026-08-06 11:21:37.651726,session_9318,,
user_0000,write,reports,192.168.1.100,True,2026-08-26 15:09:55.651726,session_9684,True,high_frequency
user_0000,write,dashboard,192.168.1.101,True,2026-08-04 11:16:37.651726,session_5857,,
user_0000,list,settings,192.168.2.200,True,2026-08-06 16:42:37.651726,session_9174,,
user_0000,list,email,192.168.1.100,True,2026-07-30 13:19:37.651726,session_7766,,
user_0000,read,dashboard,192.168.2.200,True,2026-08-13 12:18:37.651726,session_5088,,
user_0000,read,api/keys,192.168.1.101,True,2026-08-05 09:14:37.651726,session_8849,,
user_0000,read,profile,192.168.1.101,True,2026-08-16 13:17:37.651726,session_5415,,
user_0000,share,storage,10.0.0.50,True,2026-08-17 13:43:37.651726,session_3632,,
user_0000,list,email,192.168.1.101,True,2026-08-09 09:25:07.651726,session_7935,True,high_frequency
user_0000,update,dashboard,172.16.0.10,True,2026-07-31 13:51:37.651726,session_3157,,
user_0000,share,documents,192.168.2.200,True,2026-08-25 10:52:37.651726,session_8300,,
user_0000,write,reports,192.168.2.200,True,2026-08-21 15:14:37.651726,session_1349,,
user_0000,list,profile,192.168.1.100,True,2026-08-13 10:48:37.651726,session_7477,,
user_0000,list,api/keys,172.16.0.10,True,2026-08-10 11:17:33.651726,session_7723,True,high_frequency
user_0000,export,calendar,192.168.1.100,True,2026-08-15 16:31:37.651726,session_9178,,
user_0000,share,documents,192.168.1.100,True,2026-08-13 12:31:37.651726,session_4760,,
user_0000,write,dashboard,10.0.0.50,True,2026-08-16 10:33:37.651726,session_1764,,
user_0000,read,calendar,192.168.1.101,True,2026-08-05 15:22:37.651726,session_5368,,
user_0000,list,calendar,10.0.0.50,True,2026-08-03 15:07:37.651726,session_2516,,
user_0000,list,documents,192.168.2.200,True,2026-08-12 09:26:37.651726,session_8394,,
user_0000,export,api/keys,10.0.0.50,True,2026-08-24 17:08:37.651726,session_7479,,
user_0000,write,documents,192.168.1.100,True,2026-08-18 14:10:37.651726,session_3939,,
user_0000,authenticate,admin,10.0.0.50,False,2026-08-20 15:27:37.651726,session_3568,True,failed_attempts
